%   Sat Jul 01 2017 11:04:20 GMT-0300 (-03)
%   Banco de dados para suplementos retirados do Mercado Livre
%
%   Creators:
%       Danilo de Moraes Costa
%       Lucas de Almeida Carotta
%

@relation Sumplementos

@attribute Preco_original       NUMERIC
@attribute Preco_de_venda       NUMERIC
@attribute Quantidade_vendida   NUMERIC
@attribute Marca                STRING
@attribute Produtos             {whey, bcaa, termogenico, glutamina, creatina, caixa barra de proteina}

@data
42.95, 42.95, 139, SineFlex, termogenico
120, 120, 143, Nutrex, termogenico
129, 129, 22, Oxyelite, termogenico
49.9, 49.9, 137, Kimera, termogenico
79.99, 79.99, 182, Kimera, termogenico
52.99, 52.99, 125, Kimera, termogenico
79.99, 79.99, 53, Oxyelite, termogenico
24.99, 24.99, 155, Red Series, termogenico
80.99, 80.99, 282, Kimera, termogenico
60, 60, 3, Sem Marca, termogenico
110.9, 110.9, 15, Kimera, termogenico
81, 81, 354, Kimera, termogenico
104.99, 104.99, 199, Nutrex, termogenico
135.99, 135.99, 731, Nutrex, termogenico
60, 60, 0, Sem Marca, termogenico
120, 120, 44, Oxyelite, termogenico
56.75, 56.75, 302, Kimera, termogenico
121.8, 121.8, 87, Kimera, termogenico
112.99, 112.99, 110, Nutrex, termogenico
51.9, 51.9, 138, Kimera, termogenico
155.99, 155.99, 291, Nutrex, termogenico
79.99, 79.99, 271, Oxyelite, termogenico
68.4, 68.4, 11, BodyAction, termogenico
54.9, 54.9, 132, Max Titanium, termogenico
127.99, 127.99, 53, Nutrex, termogenico
167.66, 167.66, 100, Kimera, termogenico
120, 120, 33, Oxyelite, termogenico
60, 60, 1, Sem Marca, termogenico
128, 128, 51, Nutrex, termogenico
167.66, 167.66, 69, Kimera, termogenico
117.5, 117.5, 85, Kimera, termogenico
228.5, 228.5, 14, Kimera, termogenico
39.9, 39.9, 64, Oxyelite, termogenico
120, 120, 61, Nutrex, termogenico
39.99, 39.99, 130, Sem Marca, termogenico
52.89, 52.89, 88, Kimera, termogenico
65, 65, 169, Kimera, termogenico
139.99, 139.99, 582, Sweet Sweat, termogenico
99.99, 99.99, 22, Oxyelite, termogenico
29, 29, 44, Kimera, termogenico
120, 120, 74, Cellucor, termogenico
50.5, 50.5, 90, Kimera, termogenico
119.9, 119.9, 115, Kimera, termogenico
139.99, 139.99, 0, Nutrex, termogenico
49.69, 49.69, 27, Oxyelite, termogenico
78.31, 78.31, 240, SineFlex, termogenico
154.99, 154.99, 24, Nutrex, termogenico
38, 38, 92, Black Skull, termogenico
69.69, 69.69, 31, Oxyelite, termogenico
125.99, 125.99, 16, Nutrex, termogenico
20.9, 20.9, 84, Sem Marca, termogenico
162.9, 162.9, 45, Kimera, termogenico
125, 125, 377, Oxyelite, termogenico
239.99, 239.99, 21, Nutrex, termogenico
142.8, 142.8, 49, Kimera, termogenico
129, 129, 565, Oxyelite, termogenico
110.21, 110.21, 43, Nutrex, termogenico
139, 139, 51, Oxyelite, termogenico
134.99, 134.99, 0, Nutrex, termogenico
64.99, 64.99, 174, Kimera, termogenico
199.99, 199.99, 40, Oxyelite, termogenico
134.99, 134.99, 2, Nutrex, termogenico
144.99, 144.99, 28, Sem Marca, termogenico
99.9, 99.9, 265, SineFlex, termogenico
213.5, 213.5, 39, Kimera, termogenico
115, 115, 19, Nutrex, termogenico
64.69, 64.69, 17, Oxyelite, termogenico
139.99, 139.99, 32, SanDisk, termogenico
149.99, 149.99, 41, Cellucor, termogenico
135.99, 135.99, 71, Nutrex, termogenico
99.9, 99.9, 120, Oxyelite, termogenico
46.45, 46.45, 0, BodyAction, termogenico
117.9, 117.9, 38, SineFlex, termogenico
130.99, 130.99, 46, Nutrex, termogenico
89.99, 89.99, 22, Oxyelite, termogenico
187.77, 187.77, 66, Sem Marca, termogenico
140, 140, 28, SineFlex, termogenico
84.99, 84.99, 14, Nutrex, termogenico
59.99, 59.99, 58, Kimera, termogenico
105, 105, 5, Oxyelite, termogenico
99.8, 99.8, 34, Kimera, termogenico
49.9, 49.9, 45, Kimera, termogenico
179, 179, 1, Nutrex, termogenico
99, 99, 4, Oxyelite, termogenico
19.7, 19.7, 48, NewNutrition, termogenico
176.9, 176.9, 6, Kimera, termogenico
129.9, 129.9, 16, Nutrex, termogenico
199.4, 199.4, 44, Kimera, termogenico
174, 174, 279, Oxyelite, termogenico
60, 60, 50, Kimera, termogenico
160, 160, 76, Nutrex, termogenico
120, 120, 26, Kimera, termogenico
154, 154, 39, Oxyelite, termogenico
49.9, 49.9, 212, GLOBAL NUTRITION, termogenico
120, 120, 11, Nutrex, termogenico
144.99, 144.99, 49, hi tech, termogenico
62.69, 62.69, 52, Kimera, termogenico
187, 187, 39, Oxyelite, termogenico
139.99, 139.99, 20, Nutrex, termogenico
98.96, 98.96, 97, PANDORA, termogenico
147.7, 147.7, 17, SineFlex, termogenico
105, 105, 4, Oxyelite, termogenico
135, 135, 14, Nutrex, termogenico
34.9, 34.9, 249, Atlhetica Nutrition, termogenico
79.9, 79.9, 26, Integralmedica, termogenico
79.4, 79.4, 22, Kimera, termogenico
169, 169, 134, Oxyelite, termogenico
137.5, 137.5, 14, Nutrex, termogenico
120.1, 120.1, 72, Kimera, termogenico
173, 173, 17, Kimera, termogenico
109.9, 109.9, 125, Oxyelite, termogenico
99, 99, 15, Nutrex, termogenico
49.69, 49.69, 41, Kimera, termogenico
49.9, 49.9, 21, Black Mamba , termogenico
